route_id,route_short_name,route_long_name,route_type_desc
709,350,Nigdi Tilak Chowk to Sant Tukaram Maharaj Krida Sankul Dehugaon (DOWN),Bus
712,351,Jambe to Alandi (UP),Bus
713,351,Alandi to Jambe (DOWN),Bus
722,353,Shikrapur Phata to Chakan Ambethan Chowk (UP),Bus
723,353,Chakan Ambethan Chowk to Shikrapur Phata (DOWN),Bus
726,354,Pimprigaon to Marketyard Depot (UP),Bus
727,354,Marketyard Depot to Pimprigaon (DOWN),Bus
730,355,Nageshwar Vidyalaya Chikhli to Radha Hotel (UP),Bus
733,355,Radha Hotel to Nageshwar Vidyalaya Chikhli (DOWN),Bus
738,357,Bhosari Terminal to Pune Station Sassoon Road (UP),Bus
739,357,Pune Station Sassoon Road to Bhosari Terminal (DOWN),Bus
740,358A,Bhamchandra Vidhyalay Vasuli to Bhosari Chakan Road (UP),Bus
741,358A,Bhosari Chakan Road to Bhamchandra Vidhyalay Vasuli (DOWN),Bus
746,358,Rajguru Nagar Low Collage to Bhosari Chakan Road (UP),Bus
747,358,Bhosari Chakan Road to Rajguru Nagar Low Collage (DOWN),Bus
752,35,Mukai Chowk to Ma Na Pa Dengle Pul Nadikathi (UP),Bus
757,35,Ma Na Pa Dengle Pul Nadikhathi to Mukai Chowk (DOWN),Bus
760,360,Bajirao Padale Chowk Mhalunge to Alandi (UP),Bus
761,360,Alandi to Bajirao Padale Chowk Mhalunge (DOWN),Bus
762,361,Bhosari Pmt Chowk to Alandi (UP),Bus
763,361,Alandi to Bhosari Pmt Chowk (DOWN),Bus
766,362,Ycm Hospital to Alandi (UP),Bus
767,362,Alandi to Ycm Hospital (DOWN),Bus
773,363,Samir Lawns Ravet to Pimpri Road (UP),Bus
777,363,Pimpri Road to Samir Lawns Ravet (DOWN),Bus
780,366,Nigdi Bhakti Shakti to Pune Station Depot (UP),Bus
781,366,Pune Station Depot to Nigdi Bhakti Shakti (DOWN),Bus
784,367,Mukai Chowk to Bhosari Gavhane Vasti (UP),Bus
787,367,Bhosari Gavhane Vasti to Mukai Chowk (DOWN),Bus
788,368,Lonavala Railway Station to Nigdi Pawale Chowk (UP),Bus
789,368,Nigdi Pawale Chowk to Lonavala Railway Station (DOWN),Bus
792,369,Bhamchandra Vidhyalay Vasuli to Nigdi Tilak Chowk (UP),Bus
793,369,Nigdi Tilak Chowk to Bhamchandra Vidhyalay Vasuli (DOWN),Bus
800,371,Takve Bhoyregaon to Nigdi Pawale Chowk (UP),Bus
801,371,Nigdi Pawale Chowk to Takve Bhoyregaon (DOWN),Bus
804,372,Megapolis Phase 3 to Nigdi Bhakti Shakti Stand (UP),Bus
807,372,Nigdi Bhakti Shakti Stand to Megapolis Phase 3 (DOWN),Bus
815,374,Virbaba Chowk Sai Nagar to Nigdi Pawale Chowk (UP),Bus
816,374,Nigdi Pawale Chowk to Virbaba Chowk Sai Nagar (DOWN),Bus
833,381,Megapolis Phase 3 to Nageshwar Vidyalaya Chikhli (UP),Bus
834,381,Nageshwar Vidyalaya Chikhli to Megapolis Phase 3 (DOWN),Bus
835,38,Na Ta Wadi to Dhankawadi (UP),Bus
836,38,Dhankawadi to Na Ta Wadi (DOWN),Bus
842,42,Nigdi Bhakti Shakti to Gujarwadi Pmt Bus Stand (UP),Bus
843,42,Gujarwadi Pmt Bus Stand to Nigdi Bhakti Shakti (DOWN),Bus
847,43A,Hinjawadi Maan Phase 3 to Katraj (UP),Bus
849,43A,Katraj to Hinjawadi Maan Phase 3 (DOWN),Bus
850,43,Nigdi Bhakti Shakti Stand to Katraj (UP),Bus
851,43,Katraj to Nigdi Bhakti Shakti (DOWN),Bus
854,44,Akurdi Railway Station to Katraj (UP),Bus
855,44,Katraj to Akurdi Railway Station (DOWN),Bus
858,47,Sanaswadi Nandoshi to Swargate (UP),Bus
859,47,Swargate to Sanaswadi Nandoshi (DOWN),Bus
860,4,Shivaji Nagar to Swargate (UP),Bus
861,4,Swargate to Shivaji Nagar (DOWN),Bus
866,50,Sinhgad to Shaniwarwada Stand (UP),Bus
873,50,Shaniwarwada Stand to Sinhgad (DOWN),Bus
876,51,Dsk Vishwa to Shivaji Nagar (UP),Bus
877,51,Shivaji Nagar to Dsk Vishwa (DOWN),Bus
878,52A,Varasgaon Goradwadi to Swargate (UP),Bus
879,52A,Swargate to Varasgaon Goradwadi (DOWN),Bus
885,52,Manerwadi Phata Khanapur to Swargate (UP),Bus
887,52,Swargate to Manerwadi Phata Khanapur (DOWN),Bus
890,55,Shanipar Stand to Suncity (UP),Bus
891,55,Suncity to Shanipar Stand (DOWN),Bus
894,57,Vadgaon Budruk Stand to Pune Station Jayprakash Stand (UP),Bus
895,57,Pune Station Jayprakash Stand to Vadgaon Budruk Stand (DOWN),Bus
896,58,Gokhale Nagar Police Line to Shanipar Stand (UP),Bus
897,58,Shanipar Stand to Gokhale Nagar Police Line (DOWN),Bus
898,59,Niljyoti Society to Shanipar Stand (UP),Bus
899,59,Shanipar Stand to Niljyoti Society (DOWN),Bus
902,5,Pune Station Moledina Stand to Swargate (UP),Bus
903,5,Swargate to Pune Station Moledina Stand (DOWN),Bus
906,61,Sarola to Balaji Nagar Corner Satara Road (UP),Bus
907,61,Balaji Nagar Corner Satara Road to Sarola (DOWN),Bus
910,64,Nda 10 No. Gate to Bhekrai Nagar (UP),Bus
913,64,Bhekrai Nagar to Nda 10 No. Gate (DOWN),Bus
914,65A,Patas to Hadapsar Gadital Solapur Road (UP),Bus
915,65A,Hadapsar Gadital Solapur Road to Patas (DOWN),Bus
922,67A,Uruli Kanchan to Swargate (UP),Bus
923,67A,Swargate to Uruli Kanchan (DOWN),Bus
934,69,Ghotawadegaon to Marketyard Depot (UP),Bus
935,69,Marketyard Depot to Ghotawadegaon (DOWN),Bus
943,72,Nda 10 No. Gate to Sukhsagar Nagar (UP),Bus
944,72,Sukhsagar Nagar to Nda 10 No. Gate (DOWN),Bus
959,77,Hinjawadi Maan Phase 3 to Ganpati Matha (UP),Bus
960,77,Ganpati Matha to Hinjawadi Maan Phase 3 (DOWN),Bus
982,84A,Sangrun to Deccan Gymkhana (UP),Bus
983,84A,Deccan Gymkhana to Sangrun (DOWN),Bus
1000,86,Paud St Stand to Deccan Gymkhana (UP),Bus
1001,86,Deccan Gymkhana to Paud St Stand (DOWN),Bus
1002,87A,Zilla Parishad Shala Chande to Deccan Gymkhana (UP),Bus
1003,87A,Deccan Gymkhana to Zilla Parishad Shala Chande (DOWN),Bus
1009,87,Sutarwadi Depot to Deccan Gymkhana (UP),Bus
1013,87,Deccan Gymkhana to Sutarwadi Depot (DOWN),Bus
1016,8,Pune Station Moledina Stand to Deccan Gymkhana (UP),Bus
1017,8,Deccan Gymkhana to Pune Station Moledina Stand (DOWN),Bus
1028,94,Pune Station Moledina Stand to Matalwadi Bhugaon (UP),Bus
1031,94,Matalwadi Bhugaon to Pune Station Moledina Stand (DOWN),Bus
1040,98,Kesnand Phata Wagholi to Ganpati Matha (UP),Bus
1041,98,Ganpati Matha to Wagholi Kesnand Phata (DOWN),Bus
1044,99,Kekan Gas to Kothrud Depot (UP),Bus
1045,99,Kothrud Depot to Kekan Gas (DOWN),Bus
1048,AP2,Upper Depot to Katraj Kondhwa Road (UP),Bus
1049,AP2,Katraj Kondhwa Road to Upper Depot (DOWN),Bus
1108,METRO SHUTTLE 20,PANCHSHIL TOWERS E VON GATE NO. 2 Kharadi to Ramwadi Metro Station (UP),Bus
1109,METRO SHUTTLE 20,Ramwadi Metro Station to PANCHSHIL TOWERS E VON GATE NO. 2 Kharadi (DOWN),Bus
