route_id,route_short_name,route_long_name,avg_headway_min,headway_std,peak_trip_count,stops_served,headway_score,variability_score,crowding_risk_score,risk_rank
158,144A,Pune Station Moledina Stand to Aditya Garden City (UP),524.4,216.97512318612164,2,38,0.7869013465063056,0.791705552608546,0.7883426083369777,1
294,179,Hadapsar Gadital to Lohegaon Khandoba Mal (DOWN),603.9795918367347,131.31934514062755,2,46,0.9065865399648767,0.47916209557153006,0.7783592066468726,2
196,153,Kharadi Gaon to Alandi (DOWN),630.9090909090909,105.39697684123934,2,33,0.9470876562916579,0.3845757548978813,0.7783340858735248,3
859,47,Swargate to Sanaswadi Nandoshi (DOWN),505.4,224.22164690050673,2,38,0.7583259464165661,0.818146892876236,0.776272230354467,4
609,316,Katar Khadak to Chinchwadgaon (UP),648.2926829268292,81.90398155841973,2,41,0.9732320298129039,0.2988537857629222,0.7709185565979093,5
425,225,Kharadi Gaon to Hinjawadi Maan Phase 3 (DOWN),475.6,241.59470192866397,2,38,0.7135076873284486,0.8815382343793234,0.763916851443711,6
451,232,Marketyard Depot to Gram Panchayat Belawade (DOWN),666.0909090909091,46.28505587450874,2,55,0.9999999999984961,0.16888634604996616,0.750665903813937,7
112,131,Golegaon Gram Panchayat to Ma Na Pa Dengle Pul Nadikhathi (UP),548.3333333333334,158.49040677450483,3,52,0.8228963241632055,0.578304707175705,0.7495188390669553,8
628,322A,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),450.5769230769231,251.00123788100706,2,33,0.6758737697203829,0.9158610942303752,0.7478699670733806,9
562,302A,Pimprigaon to Alandi (DOWN),472.2463768115942,229.47756559559258,2,49,0.7084639439411369,0.8373248518692081,0.7471222163195582,10
16,107,Pimplegurav to Ganpati Matha (UP),580.3333333333334,121.02967329618724,3,42,0.8710233137880297,0.4416168221128063,0.7422013662854626,11
488,26,Shivaji Nagar to Dhankawadi (UP),455.0,236.65526464820994,2,24,0.682525937757468,0.8635150625784593,0.7368226752037653,12
489,26,Dhankawadi to Shivaji Nagar (DOWN),505.17857142857144,184.8847596169688,2,23,0.757992924836573,0.6746132396749022,0.7329790192880716,13
279,172,Pune Station Jayprakash Stand to Yewalewadi (UP),471.42857142857144,214.48821600543656,2,40,0.7072339904666411,0.7826312486290916,0.7298531679153762,14
382,209A,Saswad to Swargate (UP),606.8644067796611,82.22078301473307,2,59,0.910925210553244,0.3000097407330346,0.7276505696071811,15
17,107,Ganpati Matha to Pimplegurav (DOWN),574.8785310734464,108.07430496286963,2,57,0.8628194634203095,0.39434487270698365,0.7222770862063116,16
1266,332,Tata Motors Bebadohal to Nigdi Pawale Chowk (UP),467.1,209.3919525576816,3,37,0.7007239557093546,0.7640358446496107,0.7197175223914314,17
383,209A,Swargate to Saswad (DOWN),595.438596491228,80.34124042035135,1,57,0.893741152640537,0.2931516074757034,0.7135642890910869,18
663,331B,Charholigaon to Pimple Saudagar (DOWN),447.9761904761905,220.91010962540906,2,58,0.6719623500049954,0.8060636530565446,0.71219274092046,19
575,305B,Mindewadi Navlakh Umbre to Nigdi Pawale Chowk (UP),578.3088235294117,94.48450198319917,2,65,0.867978514965258,0.3447579785051443,0.7110123540272238,20
631,323A,Gharkul Vasahat Chikhali to Ma Na Pa Main Stand (UP),486.25,181.84778530759348,3,38,0.7295249510629604,0.6635318337120653,0.7097270158576918,21
535,297,Rajas Society to Shivaji Nagar (DOWN),488.1818181818182,176.25362665514405,2,27,0.7324303446127545,0.6431196942820615,0.7056371495135466,22
205,157,JSPM Vidhyapith Wagholi to Ma Na Pa Shramik Bhavan (UP),511.16279069767444,136.22826261420101,2,38,0.7669930016702228,0.4970739057553706,0.6860172728957671,23
576,305B,Nigdi Pawale Chowk to Mindewadi Navlakh Umbre (DOWN),586.6666666666666,61.02891365481442,1,54,0.880548447151276,0.22268419116756413,0.6831891703561623,24
82,124,Neilsoft Company infosys Phase 3 to Aundhgaon (UP),463.0769230769231,178.33363287777382,2,50,0.6946733750425799,0.6507092854376509,0.6814841481611011,25
287,176,Vadachi Wadi to Pune Station Depot (UP),523.4782608695652,119.65166835080252,2,42,0.7855150799573297,0.43658871496963264,0.6808371704610205,26
58,119A,Charholigaon to Ma Na Pa Daphale Garage (UP),462.3728813559322,177.6895683493416,3,46,0.6936145185237808,0.6483592028295144,0.6800379238155008,27
479,258,Ma Na Pa Main Gate to Nilanjan Society Soosgaon (DOWN),420.0,218.1587044767709,3,40,0.6298870428553165,0.7960242406959671,0.6797282022075116,28
610,316,Chinchwadgaon to Katar Khadak (DOWN),552.0967741935484,90.68748529661404,1,62,0.8285564203892432,0.33090330636589593,0.6792604861822389,29
367,205,Sangvi Vasantdada Putala to Shewalewadi Depot (UP),452.3076923076923,184.58041626870946,2,58,0.678476791995764,0.6735027422354803,0.6769845770676789,30
580,306A,Dange Chowk to Hinjewadi Hills Dattawadi (DOWN),393.6842105263158,238.78884559785217,2,34,0.5903089263875334,0.8713001388580226,0.6746062901286801,31
195,153,Alandi to Kharadi Gaon (UP),556.6666666666666,79.62174728997995,1,54,0.8354293943780033,0.29052629864760277,0.6719584656588832,32
922,67A,Uruli Kanchan to Swargate (UP),440.74074074074076,190.56349189822387,3,58,0.6610804620565915,0.6953339739822654,0.6713565156342937,33
