route_id,agency_id,route_short_name,route_long_name,route_type
168,PMPML,146,Gokhale Nagar Police Line to Pune Station Jayprakash Stand (UP),3
169,PMPML,146,Pune Station Jayprakash Stand to Gokhale Nagar Police Line (DOWN),3
170,PMPML,147,Nhavi Sandas to Ma Na Pa Shramik Bhavan (UP),3
171,PMPML,147,Ma Na Pa Shramik Bhavan to Nhavi Sandas (DOWN),3
174,PMPML,148A,Bhosari Terminal to Bhekrai Nagar (UP),3
175,PMPML,148A,Bhekrai Nagar to Bhosari Terminal (DOWN),3
176,PMPML,148,Pimplegurav to Shewalewadi Depot (UP),3
177,PMPML,148,Shewalewadi Depot to Pimplegurav (DOWN),3
178,PMPML,149,Nigdi Bhakti Shakti Stand to Hadapsar Gadital (UP),3
179,PMPML,149,Hadapsar Gadital to Nigdi Bhakti Shakti Stand (DOWN),3
182,PMPML,151,Alandi to Pune Station Moledina Stand (UP),3
183,PMPML,151,Pune Station Moledina Stand to Alandi (DOWN),3
191,PMPML,152,Lohegaon to Ma Na Pa Daphale Garage (UP),3
194,PMPML,152,Ma Na Pa Daphale Garage to Lohegaon (DOWN),3
195,PMPML,153,Alandi to Kharadi Gaon (UP),3
196,PMPML,153,Kharadi Gaon to Alandi (DOWN),3
197,PMPML,154,Dimond Water Park to Pune Station Moledina Stand (UP),3
198,PMPML,154,Pune Station Moledina Stand to Dimond Water Park (DOWN),3
199,PMPML,155,Dimond Water Park to Pune Station Moledina Stand (UP),3
200,PMPML,155,Pune Station Moledina Stand to Dimond Water Park (DOWN),3
205,PMPML,157,JSPM Vidhyapith Wagholi to Ma Na Pa Shramik Bhavan (UP),3
206,PMPML,157,Ma Na Pa Shramik Bhavan to JSPM Vidhyapith Wagholi (DOWN),3
207,PMPML,158A,Dimond Water Park to Ma Na Pa Dengle Pul Nadikathi (UP),3
208,PMPML,158A,Ma Na Pa Dengle Pul Nadikhathi to Dimond Water Park (DOWN),3
213,PMPML,158,Pride World City Lohegaon to Ma Na Pa Dengle Pul Nadikathi (UP),3
214,PMPML,158,Ma Na Pa Dengle Pul Nadikhathi to Pride World City Lohegaon (DOWN),3
217,PMPML,159B,Loni Dhamni to Ma Na Pa Shramik Bhavan (UP),3
218,PMPML,159B,Ma Na Pa Shramik Bhavan to Loni Dhamni (DOWN),3
221,PMPML,159,Talegaon Dhamdhere Bazar to Ma Na Pa Shramik Bhavan (UP),3
222,PMPML,159,Ma Na Pa Shramik Bhavan to Talegaon Dhamdhere Bazar (DOWN),3
223,PMPML,15,Dsk Vishwa to Bhekrai Nagar (UP),3
224,PMPML,15,Bhekrai Nagar to Dsk Vishwa (DOWN),3
225,PMPML,160,Manjari Budruk to Shaniwarwada Stand (UP),3
226,PMPML,160,Shaniwarwada Stand to Manjari Budruk (DOWN),3
234,PMPML,161,Zilla Parishad Shala Karegaon to Kesnand Phata Wagholi (UP),3
236,PMPML,161,Wagholi Kesnand Phata to Zilla Parishad Shala Karegaon (DOWN),3
237,PMPML,162,Pabal Gaon to Ma Na Pa Shramik Bhavan (UP),3
238,PMPML,162,Ma Na Pa Shramik Bhavan to Pabal Gaon (DOWN),3
241,PMPML,163,Dhole Patil Collage to Pune Station Ambedkar Putala (UP),3
242,PMPML,163,Pune Station Ambedkar Putala to Dhole Patil Collage (DOWN),3
245,PMPML,164,Nhavare to Ma Na Pa Shramik Bhavan (UP),3
246,PMPML,164,Ma Na Pa Shramik Bhavan to Nhavare (DOWN),3
247,PMPML,165,Vadgaon Sheri to Ma Na Pa Dengle Pul Nadikhathi (UP),3
248,PMPML,165,Ma Na Pa Dengle Pul Nadikathi to Vadgaon Sheri (DOWN),3
255,PMPML,166,Lohgaon Airport to Pune Station Ambedkar Putala (UP),3
256,PMPML,166,Pune Station Ambedkar Putala to Lohegaon Airport (DOWN),3
259,PMPML,167,Kesnand Phata Wagholi to Bhekrai Nagar (UP),3
262,PMPML,167,Bhekrai Nagar to Wagholi Kesnand Phata (DOWN),3
265,PMPML,168,Keshav Nagar to Shaniwarwada Stand (UP),3
266,PMPML,168,Shaniwarwada Stand to Keshav Nagar (DOWN),3
267,PMPML,169,Keshav Nagar to Shaniwarwada Stand (UP),3
270,PMPML,169,Shaniwarwada Stand to Keshav Nagar (DOWN),3
279,PMPML,172,Pune Station Jayprakash Stand to Yewalewadi (UP),3
280,PMPML,172,Yewalewadi to Pune Station Jayprakash Stand (DOWN),3
281,PMPML,174,Nda 10 No. Gate to Pune Station Moledina Stand (UP),3
282,PMPML,174,Pune Station Moledina Stand to Nda 10 No. Gate (DOWN),3
285,PMPML,175,Hadapsar Gadital to Shaniwarwada Stand (UP),3
286,PMPML,175,Shaniwarwada Stand to Hadapsar Gadital (DOWN),3
287,PMPML,176,Vadachi Wadi to Pune Station Depot (UP),3
288,PMPML,176,Pune Station Depot to Vadachi Wadi (DOWN),3
291,PMPML,177,Bhangire Nagar Mahamadwadi to Pune Station Depot (UP),3
292,PMPML,177,Pune Station Depot to Bhangire Nagar Mahamadwadi (DOWN),3
293,PMPML,179,Lohegaon Khandoba Mal to Hadapsar Gadital (UP),3
294,PMPML,179,Hadapsar Gadital to Lohegaon Khandoba Mal (DOWN),3
297,PMPML,17,Narhegaon to Shivaji Nagar (UP),3
298,PMPML,17,Shivaji Nagar to Narhegaon (DOWN),3
299,PMPML,180,Bhekrai Nagar to Na Ta Wadi (UP),3
300,PMPML,180,Na Ta Wadi to Bhekrai Nagar (DOWN),3
311,PMPML,183,Wagholi Kesnand Phata to Hadapsar Gadital Solapur Road (UP),3
312,PMPML,183,Hadapsar Gadital Solapur Road to Wagholi Kesnand Phata (DOWN),3
313,PMPML,184,Ramdara to Hadapsar Gadital Solapur Road (UP),3
314,PMPML,184,Hadapsar Gadital Solapur Road to Ramdara (DOWN),3
315,PMPML,185,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),3
