stop_id,stop_name,stop_lat,stop_lon
336,Sutardara,18.5154006039652,73.8078049118911
337,Mhatoba Nagar,18.5154006039652,73.8058969092206
106793,Pune Station Moledina Road,18.5275752196755,73.8732451702751
338,Kanchanban Society,18.5124039159898,73.8063701912627
319,Income Tax Office,18.5254,73.876701
339,Shivtirth Nagar,18.5120814231295,73.8090449425605
320,Gpo,18.5235372065769,73.8755569587879
167,Pratik Nagar,18.5082834225672,73.8093522874793
321,Collector Kacheri,18.524080816588,73.8729659231108
166,Jai Bhavani Nagar,18.5095259223062,73.8125105373134
322,Zilla Parishad,18.5234018116251,73.8692531129908
165,Anand Nagar Kothrud,18.509707773366,73.8144250198808
323,15 August Chowk,18.5222938586779,73.8663947282855
155,Ideal Colony,18.5109146420363,73.8187191602498
324,Apollo Talkies,18.519501,73.864601
4541,More Vidyalay,18.510201,73.8209
325,Phadke Haud,18.518999,73.860298
153,Paud Phata Paud Road,18.5068934746866,73.8238482663768
326,Jijamatabaug,18.5187038462609,73.8570865949359
152,Sndt Mahila Vidhyapith,18.507299,73.8284
327,Vasant Talkies,18.5183095726825,73.8562166670321
151,Nal Stop,18.5098,73.833298
328,Appa Balwant Chowk,18.5163949805955,73.8531071455806
150,Sonal Hall,18.5104992272604,73.8348296365059
329,Kesari Wada,18.5163,73.849503
149,Garware College,18.5125646396371,73.83905236661
330,Mati Ganpati,18.515862952766,73.8470664805777
4533,Deccan Corner,18.5131,73.840401
331,Kulkarni Petrol Pump,18.5131655202663,73.8446858504771
340,Sambaji Pul Police Chowky,18.5134080533528,73.8443788833573
121,Deccan Corner,18.5132284698104,73.8409556524129
341,Mati Ganpati,18.5158765095327,73.8469505448682
120,Garware College,18.5124,73.838997
119,Sonal Hall,18.5104791172392,73.8350477395528
5033,Appa Balwant Chowk,18.5149199056391,73.8537481427193
118,Nal Stop,18.5088613865128,73.8319284097747
343,Dakshinmukhi Maruti,18.5177873549971,73.8539758272126
117,Sndt Mahila Vidhyapith,18.507299,73.828903
344,Shaniwarwada,18.519699,73.8545
116,Paud Phata Paud Road,18.5073373630217,73.8233479962636
345,Jijamatabaug,18.5185187397531,73.8567125844026
115,More Vidyalay,18.510401,73.819603
346,Phadke Haud,18.5189,73.860298
114,Ideal Colony,18.510099,73.817101
